"","USD.Pledged","State","Backers.Count","Blurb.Length","Blurb.Caps","Campaign.Length","Decision.Timing","Goal","Name.Length","Name.Caps","Category","Category..parent.only.","Country","Spotlight","Staff.Pick"
"2463",205,0,4,130,1,2592000,2592000,2000,40,13,"photography photobooks","photography","US",FALSE,FALSE
"2511",17311,1,183,128,2,2592000,2592000,16500,60,10,"music rock","music","US",TRUE,FALSE
"2227",2300,1,72,133,1,2764800,2764800,1500,54,9,"comics comic books","comics","US",TRUE,TRUE
"526",10184,1,63,135,6,2375990,2375990,10000,35,10,"dance performances","dance","US",TRUE,TRUE
"195",31558,1,225,134,3,4082115,4082115,30000,47,6,"food drinks","food","US",TRUE,FALSE
"2986",3351,0,17,118,5,3888000,3888000,18800,36,3,"art sculpture","art","US",FALSE,FALSE
"1842",869.03682816,1,8,103,1,2592000,2592000,750,43,3,"crafts candles","crafts","DE",TRUE,TRUE
"1142",724,1,38,135,5,811668,811668,500,40,5,"games playing cards","games","US",TRUE,FALSE
"3371",15,0,1,79,3,5184000,5184000,30000,40,8,"music hip hop","music","US",FALSE,FALSE
"1253",109,0,6,35,1,604800,604800,250,14,2,"crafts stationery","crafts","US",FALSE,FALSE
"1268",102,0,3,40,7,634881,634882,10000,47,18,"music pop","music","US",FALSE,FALSE
"1038",3021,0,27,135,20,5168042,5168042,20000,29,4,"dance spaces","dance","US",FALSE,FALSE
"3446",161,0,8,135,7,2592000,2592000,11500,56,3,"film   video television","film & video","US",FALSE,FALSE
"665",495,0,16,86,7,5184000,5184000,3300,57,6,"music punk","music","US",FALSE,FALSE
"2650",66.180534,0,1,39,4,2592000,2592000,2600,31,4,"fashion jewelry","fashion","IE",FALSE,FALSE
"1627",1114.23294632,1,31,76,1,2638500,2638502,400,14,3,"publishing children s books","publishing","GB",TRUE,FALSE
"2757",175,0,4,129,5,3391406,3391407,700,57,3,"music classical music","music","US",FALSE,FALSE
"1011",30206.8,1,640,55,6,2592000,2592000,28000,28,6,"music rock","music","US",TRUE,TRUE
"1115",20060.11,1,180,116,5,2878834,2878834,20000,22,2,"music rock","music","US",TRUE,FALSE
"953",8373.45,1,168,131,15,2592000,2592000,7500,60,18,"music classical music","music","US",TRUE,TRUE
"348",27641,1,101,132,2,2592000,2592000,25000,26,4,"food drinks","food","US",TRUE,FALSE
