"","USD.Pledged","State","Backers.Count","Blurb.Length","Blurb.Caps","Campaign.Length","Decision.Timing","Goal","Name.Length","Name.Caps","Category","Category..parent.only.","Country","Spotlight","Staff.Pick"
"1",4618,1,61,107,4,2592000,2592000,3000,21,3,"dance performances","dance","US",TRUE,TRUE
"2",3461,0,52,135,13,2592000,2592000,20000,54,7,"food drinks","food","US",FALSE,TRUE
"5",3275,1,150,75,0,1209600,1209600,800,41,10,"design product design","design","US",TRUE,FALSE
"6",2796,1,42,124,4,1296000,1296000,1800,13,2,"dance","dance","US",TRUE,FALSE
"8",10940.99,1,219,59,5,2592000,2592017,10000,21,4,"dance performances","dance","US",TRUE,TRUE
"9",2075.02,1,50,114,4,2592000,2592003,1800,48,3,"publishing poetry","publishing","US",TRUE,FALSE
"10",140,0,4,130,17,3024000,3024004,3500,30,4,"food food trucks","food","US",FALSE,FALSE
"12",4358,1,62,93,7,4741802,4741802,4000,15,2,"music jazz","music","US",TRUE,FALSE
"13",581,1,25,110,6,2458809,2458809,500,30,5,"design product design","design","US",TRUE,FALSE
"16",1730.1405500364,1,32,45,1,2592000,2592000,2500,13,3,"music indie rock","music","AU",TRUE,TRUE
"17",3570,1,78,122,9,1814400,1814400,1500,43,5,"theater immersive","theater","US",TRUE,FALSE
"18",0,0,0,126,12,1296000,1296002,5500,59,11,"food food trucks","food","CA",FALSE,FALSE
"20",61,0,2,134,3,2595600,2595601,20000,31,4,"journalism video","journalism","US",FALSE,FALSE
"23",5571.5935905,1,67,121,8,2592000,2592000,5000,48,3,"publishing poetry","publishing","AU",TRUE,TRUE
"25",2380.1566216701,1,30,61,5,1814400,1814400,15000,30,5,"music rock","music","DK",TRUE,FALSE
"26",0,0,0,132,10,2588400,2588401,40000,23,3,"food drinks","food","US",FALSE,FALSE
"27",95,0,3,127,4,5120486,5120486,20000,26,23,"food food trucks","food","US",FALSE,FALSE
"30",250,0,3,97,3,2592000,2592000,28000,6,1,"theater immersive","theater","US",FALSE,FALSE
"31",0,0,0,39,2,3364469,3364469,1000,39,2,"journalism","journalism","ES",FALSE,FALSE
"32",545,0,8,134,15,3891600,3891600,5000,51,4,"photography fine art","photography","US",FALSE,FALSE
"34",1455,0,60,127,2,3456000,3456002,10000,35,6,"technology gadgets","technology","US",FALSE,FALSE
"35",287,0,12,135,5,4586966,4586966,1450,58,10,"technology gadgets","technology","US",FALSE,FALSE
"36",1395,1,29,128,1,2182902,2182903,745,17,2,"publishing young adult","publishing","US",TRUE,FALSE
"37",0,0,0,121,9,3354618,3354619,500,49,6,"publishing young adult","publishing","GB",FALSE,FALSE
"38",2143,1,35,135,1,864000,864000,2000,36,5,"film   video horror","film & video","US",TRUE,TRUE
"42",7156,1,68,44,7,5184000,5184000,7000,21,3,"music","music","US",TRUE,FALSE
"44",1925.37,1,42,129,7,3456000,3456001,1500,46,11,"art conceptual art","art","US",TRUE,FALSE
"45",3078,1,78,133,13,2642443,2642443,1000,55,9,"art painting","art","US",TRUE,FALSE
"47",4819,1,64,96,13,2636764,2636822,4000,19,3,"art painting","art","US",TRUE,FALSE
"50",0,0,0,119,4,1728000,1728000,60000,50,6,"food food trucks","food","MX",FALSE,FALSE
"51",3356,0,37,74,2,2592000,2592001,15000,17,7,"food drinks","food","US",FALSE,FALSE
"54",23.373635,0,1,124,1,5073293,5073294,120000,35,5,"journalism print","journalism","MX",FALSE,FALSE
"55",201,0,2,135,4,3081373,3081386,4000,17,4,"fashion ready to wear","fashion","US",FALSE,FALSE
"56",3694,1,41,129,3,2592000,2592000,1500,43,6,"dance","dance","US",TRUE,TRUE
"57",17305.5,1,140,83,1,2592000,2592001,15000,43,6,"music faith","music","US",TRUE,FALSE
"58",2943.97348014,1,62,135,2,2315918,2315918,8500,17,3,"art painting","art","SE",TRUE,TRUE
"59",0,0,0,134,2,2592000,2592001,3000,56,3,"journalism web","journalism","US",FALSE,FALSE
"61",1,0,1,135,4,2215822,2215822,111,40,7,"art painting","art","US",FALSE,FALSE
"63",578,1,15,120,3,3888000,3888000,500,43,14,"technology robots","technology","US",TRUE,FALSE
"64",25589,1,176,131,5,2592000,2592001,25000,19,3,"food drinks","food","US",TRUE,FALSE
"65",1,0,1,48,1,2592000,12182,20000,48,5,"food food trucks","food","US",FALSE,FALSE
"66",0.973678971,1,1,48,0,5187600,5187601,1,27,0,"technology robots","technology","CA",TRUE,FALSE
"67",5044.9141829548,1,100,129,6,2592000,2592000,1000,56,9,"design product design","design","AU",TRUE,FALSE
"69",35249,1,121,132,1,2588400,2588403,35000,54,1,"journalism web","journalism","US",TRUE,FALSE
"70",30381,1,574,128,2,2728706,2728706,9500,60,10,"art painting","art","US",TRUE,TRUE
"72",2500,1,14,150,8,7606551,7606640,2500,80,6,"art painting","art","US",TRUE,FALSE
"77",5537,0,15,116,4,2595600,2595600,50000,15,2,"food drinks","food","US",FALSE,FALSE
"78",1411,1,83,44,5,3888000,3888000,500,20,4,"music comedy","music","US",TRUE,FALSE
"79",687.24925,0,12,133,4,2592000,2592002,600000,14,4,"food drinks","food","SE",FALSE,FALSE
"81",5581,1,15,82,2,2416340,2416340,5000,53,7,"art painting","art","US",TRUE,FALSE
"82",65.63182106,0,4,118,3,5180400,5180401,10000,59,6,"journalism","journalism","AU",FALSE,FALSE
"83",10095,1,145,121,1,1576269,1576271,10000,10,2,"dance","dance","US",TRUE,FALSE
"84",15815.838298915,1,27,108,4,1577858,1577858,20000,26,6,"dance","dance","CA",TRUE,FALSE
"87",2888,1,20,118,1,3891600,3891600,2888,21,9,"dance performances","dance","US",TRUE,FALSE
"88",11,0,2,75,3,5184000,5184003,10000,13,1,"film   video horror","film & video","US",FALSE,FALSE
"89",7200,1,88,112,1,2160000,2160001,5500,56,3,"film   video horror","film & video","US",TRUE,FALSE
"90",6.1088709389,0,3,43,1,5184000,5184000,5555600,47,1,"food drinks","food","SE",FALSE,FALSE
"91",1315,1,23,69,11,1814400,1814400,500,38,8,"art painting","art","US",TRUE,FALSE
"92",1666,1,20,43,6,1954592,1954592,1500,28,3,"photography fine art","photography","US",TRUE,FALSE
"94",140169.58772957,1,240,73,1,3020400,3020400,42000,51,7,"design product design","design","FR",TRUE,FALSE
"96",54522.33,1,903,133,9,2591874,2591874,6000,36,5,"music world music","music","US",TRUE,FALSE
"97",10908,1,154,98,16,2592000,2592000,10000,59,8,"food drinks","food","US",TRUE,TRUE
"98",526,0,14,41,1,2592000,2592002,800,23,6,"photography fine art","photography","US",FALSE,FALSE
"100",1250.67005563,1,43,126,10,5184000,5184002,7100,53,5,"art conceptual art","art","NO",TRUE,FALSE
"101",4550.65968688,1,38,101,21,2592000,2592000,3369,51,11,"music metal","music","GB",TRUE,TRUE
"103",4375,1,45,121,5,2592000,2592001,4000,15,2,"publishing poetry","publishing","US",TRUE,FALSE
"105",13007,1,209,77,11,2592000,2592000,1000,58,6,"design product design","design","US",TRUE,FALSE
"107",464.58923434,0,11,135,3,3024000,3024001,5000,49,13,"food drinks","food","CA",FALSE,FALSE
"108",292.77014198,0,6,134,5,2592000,2592002,2000,48,2,"fashion ready to wear","fashion","FR",FALSE,FALSE
"109",4170,1,36,134,24,1814886,1814886,4000,21,3,"dance","dance","US",TRUE,FALSE
"112",475,1,24,49,0,604800,604800,400,29,0,"dance spaces","dance","US",TRUE,FALSE
"113",180,0,4,122,2,2592000,2592002,50000,18,3,"film   video horror","film & video","US",FALSE,FALSE
"114",0,0,0,133,1,5187600,5187600,7700,47,7,"art painting","art","US",FALSE,FALSE
"116",140.714661,1,4,55,1,2592000,2592000,25,16,3,"art painting","art","CA",TRUE,FALSE
"117",0,0,0,135,3,2592000,72945,15000,43,4,"publishing young adult","publishing","US",FALSE,FALSE
"119",4852,1,32,25,3,777600,777600,500,29,5,"design","design","US",TRUE,FALSE
"121",2486,1,51,99,7,1814400,1814414,2000,18,4,"journalism","journalism","US",TRUE,FALSE
"122",1.0933873,0,1,41,0,5184000,5184000,2000,8,0,"technology gadgets","technology","ES",FALSE,FALSE
"123",2857,1,29,123,1,3477879,3477879,1500,19,3,"film   video horror","film & video","US",TRUE,FALSE
